Id;Data;Hora;Hour;Type;Operador;Categoria;Classe;Adults;Children;Bebies;Local Recolha;GPS Recolha;Local Entrega;GPS Entrega;Duration;Distance;Price
AT033243;02/01/2024;10:05;10;;Alfagar Rece??o;Interzone;Taxi 5 - 8 Pax;5;0;0;Alfagar;37.091469, -8.209299999999999;Old Town - Albufeira;37.0878126, -8.2512923;00:07;4;10,00
AT033178;02/01/2024;13:30;13;Chegada;Alfa Tours & Transfers;Airport Transfer;5 - 8 Pax;2;2;0;Faro Airport;37.0222849,-7.963351899999999;Alfagar;37.0900291,-8.2093814;00:35;38;65,00
AT033246;02/01/2024;16:30;16;;Alfagar Rece??o;Interzone;Taxi 5 - 8 Pax;2;3;0;Alfagar;37.091469,-8.209299999999999;Old Town - Albufeira;37.0878126,-8.2512923;00:07;4;10,00
AT033247;02/01/2024;19:30;19;;Alfa Tours & Transfers;Interzone;Taxi 5 - 8 Pax;2;3;0;Old Town - Albufeira;37.0878126, -8.2512923;Alfagar;37.091469, -8.209299999999999;00:07;4;10,00
AT033248;02/01/2024;19:45;19;;Alfa Tours & Transfers;Interzone;Taxi 1 - 4 Pax;2;0;0;Old Town - Albufeira;37.0878126,-8.2512923;Alfagar;37.091469,-8.209299999999999;00:07;4;8,00
AT033197;02/01/2024;20:10;20;Chegada;Website;Airport Transfer;5 - 8 Pax;2;4;1;Faro Airport;37.0222868,-7.9634456;Alfagar;37.0911794,-8.2095811;00:35;38;65,00
AT033255;03/01/2024;10:35;10;;Alfagar Rece??o;Interzone;Taxi 5 - 8 Pax;4;3;0;Alfagar;37.091469, -8.209299999999999;Old Town - Albufeira;37.0878126, -8.2512923;00:07;4;10,00
AT033258;03/01/2024;11:40;11;;Alfagar Rece??o;Parques Tem?ticos;1 - 4 Pax;2;2;0;Alfagar;37.091469,-8.209299999999999;Aquashow;37.09105100000001,-8.073170000000001;00:20;17;35,00
AT033262;03/01/2024;13:00;13;;Alfa Tours & Transfers;Interzone;Taxi 5 - 8 Pax;4;3;0;Old Town - Albufeira;37.0878126,-8.2512923;Alfagar;37.091469,-8.209299999999999;00:07;4;10,00
AT033259;03/01/2024;17:00;17;;Alfagar Rece??o;Parques Tem?ticos;1 - 4 Pax;2;2;0;Aquashow;37.09105100000001, -8.073170000000001;Alfagar;37.091469, -8.209299999999999;00:20;17;35,00
AT033263;04/01/2024;11:30;11;;Alfagar Rece??o;Interzone;5 - 8 Pax;4;0;1;Alfagar;37.091469,-8.209299999999999;Marina-Albufeira;37.0842882,-8.2709493;00:15;9;20,00
AT033256;04/01/2024;11:30;11;;Alfagar Rece??o;Interzone;1 - 4 Pax;2;0;0;Alfagar;37.091469,-8.209299999999999;Marina-Albufeira;37.0842882,-8.2709493;00:15;9;15,00
AT033264;04/01/2024;15:30;15;;Alfagar Rece??o;Interzone;Taxi 5 - 8 Pax;4;0;1;Marina-Albufeira;37.0842882,-8.2709493;Alfagar;37.091469,-8.209299999999999;00:15;9;20,00
AT033257;04/01/2024;15:30;15;;Alfagar Rece??o;Interzone;1 - 4 Pax;2;0;0;Marina-Albufeira;37.0842882,-8.2709493;Alfagar;37.091469,-8.209299999999999;00:15;9;15,00
AT033272;06/01/2024;04:00;4;Partida;Alfagar Rece??o;Airport Transfer;Airport Transfer 4-8PAX;3;2;0;Alfagar;37.091469,-8.209299999999999;Faro Airport;37.02305399999999,-7.970688;00:35;38;71,50
AT033204;06/01/2024;06:00;6;Partida;Alfa Tours & Transfers;Airport Transfer;Airport Transfer 4-8PAX;1;3;2;Alfagar;37.091469,-8.209299999999999;Faro Airport;37.0222849,-7.963351899999999;00:35;38;71,50
AT033273;06/01/2024;08:30;8;;Alfagar Rece??o;Interzone;1 - 4 Pax;1;0;0;Alfagar;37.091469,-8.209299999999999;Loul?;37.1379054,-8.0201637;00:32;36;15,00
AT033244;06/01/2024;08:30;8;;Alfagar Rece??o;Interzone;1 - 4 Pax;2;0;0;Alfagar;37.091469,-8.209299999999999;Loul?;37.1379054,-8.0201637;00:32;36;30,00
AT028225;06/01/2024;09:15;9;Partida;Alfa Tours & Transfers;Airport Transfer;Airport Transfer 4-8PAX;3;1;0;Alfagar;37.0940463,-8.209057099999999;Faro Airport;37.0213551,-7.9688443;00:35;38;65,00
AT025432;06/01/2024;09:30;9;Partida;Alfa Tours & Transfers;Airport Transfer;Airport Transfer 4-8PAX;2;0;2;Alfagar;37.0940463,-8.209057099999999;Faro Airport;37.0204577,-7.968268699999999;00:35;38;65,00
AT033279;06/01/2024;10:40;10;Partida;Alfagar Rece??o;Airport Transfer;Airport Transfer 1-3PAX;1;0;0;Alfagar;37.091469,-8.209299999999999;Faro Airport;37.02305399999999,-7.970688;00:35;38;55,00
AT033280;06/01/2024;11:15;11;Chegada;Alfa Tours & Transfers;Airport Transfer;Airport Transfer 4-8PAX;1;3;2;Faro Airport;37.0222849, -7.963351899999999;Alfagar;37.091469, -8.209299999999999;00:35;38;65,00
AT033275;06/01/2024;13:05;13;Chegada;ADM;Airport Transfer;Airport Transfer 1-3PAX;1;0;0;Faro Airport;37.0222849,-7.963351899999999;Alfagar;37.091469,-8.209299999999999;00:35;38;0,00
AT033274;06/01/2024;13:30;13;;Alfagar Rece??o;Interzone;1 - 4 Pax;1;0;0;Loul?;37.1379054,-8.0201637;Alfagar;37.091469,-8.209299999999999;00:32;36;0,00
AT033245;06/01/2024;13:30;13;;Alfagar Rece??o;Interzone;1 - 4 Pax;2;0;0;Loul?;37.1379054,-8.0201637;Alfagar;37.091469,-8.209299999999999;00:32;36;0,00
AT033288;06/01/2024;14:40;14;Partida;ADM;Airport Transfer;Airport Transfer 4-8PAX;5;0;0;Alfagar;37.091469, -8.209299999999999;Faro Airport;37.02305399999999, -7.970688;00:35;38;0,00
AT033289;06/01/2024;16:50;16;Chegada;ADM;Airport Transfer;Airport Transfer 1-3PAX;1;0;0;Faro Airport;37.0222849,-7.963351899999999;Alfagar;37.091469,-8.209299999999999;00:35;38;0,00
AT025173;07/01/2024;09:05;9;Chegada;Alfa Tours & Transfers;Airport Transfer;Airport Transfer 1-3PAX;2;0;0;Faro Airport;37.0213551,-7.9688443;Alfagar;37.0940463,-8.209057099999999;00:35;38;55,00
AT033294;07/01/2024;17:20;17;Partida;Alfagar Rece??o;Airport Transfer;Airport Transfer 4-8PAX;4;2;0;Alfagar;37.091469, -8.209299999999999;Faro Airport;37.02305399999999, -7.970688;00:35;38;65,00
AT033270;07/01/2024;17:35;17;Chegada;Alfagar Rece??o;Airport Transfer;Airport Transfer 1-3PAX;2;0;0;Faro Airport;37.0222849,-7.963351899999999;Alfagar;37.091469,-8.209299999999999;00:35;38;104,50
AT033195;07/01/2024;19:35;19;Chegada;Alfa Tours & Transfers;Airport Transfer;Airport Transfer 1-3PAX;2;0;0;Faro Airport;37.0222849,-7.963351899999999;Alfagar;37.091469,-8.209299999999999;00:35;38;55,00
AT033287;08/01/2024;14:30;14;Partida;Alfa Tours & Transfers;Airport Transfer;Airport Transfer 4-8PAX;1;3;2;Alfagar;37.091469,-8.209299999999999;Faro Airport;37.0222849,-7.963351899999999;00:35;38;65,00
AT032865;08/01/2024;18:25;18;Chegada;Alfagar Rece??o;Airport Transfer;Airport Transfer 1-3PAX;2;0;0;Faro Airport;37.0206047,-7.968698099999999;Alfagar;37.0900291,-8.2093814;00:35;38;55,00
AT033303;09/01/2024;11:55;11;;Alfagar Rece??o;Interzone;Taxi 1 - 4 Pax;2;2;0;Alfagar;37.091469, -8.209299999999999;Old Town - Albufeira;37.0878126, -8.2512923;00:07;4;8,00
AT033300;09/01/2024;14:30;14;Partida;ADM;Airport Transfer;Airport Transfer 1-3PAX;1;0;0;Alfagar;37.091469, -8.209299999999999;Faro Airport;37.02305399999999, -7.970688;00:35;38;0,00
AT033316;10/01/2024;11:45;11;;Alfagar Rece??o;Interzone;5 - 8 Pax;6;2;0;Alfagar;37.091469,-8.209299999999999;Marina-Albufeira;37.0842882,-8.2709493;00:15;9;20,00
AT033317;11/01/2024;11:00;11;;Alfagar Rece??o;Interzone;5 - 8 Pax;3;2;1;Alfagar;37.091469,-8.209299999999999;Marina-Albufeira;37.0842882,-8.2709493;00:15;9;20,00
AT033318;11/01/2024;15:30;15;;Alfagar Rece??o;Interzone;5 - 8 Pax;3;2;1;Marina-Albufeira;37.0842882,-8.2709493;Alfagar;37.091469,-8.209299999999999;00:15;9;20,00
AT033278;12/01/2024;07:10;7;Partida;Alfa Tours & Transfers;Airport Transfer;Airport Transfer 1-3PAX;2;0;0;Alfagar;37.0917719,-8.208263200000001;Faro Airport;37.0228168,-7.970626099999999;00:35;38;55,00
AT033324;13/01/2024;05:30;5;Partida;ADM;Airport Transfer;Airport Transfer 1-3PAX;2;0;0;Alfagar;37.091469, -8.209299999999999;Faro Airport;37.02305399999999, -7.970688;00:35;38;0,00
AT033293;13/01/2024;07:50;7;Chegada;Alfa Tours & Transfers;Airport Transfer;Airport Transfer 1-3PAX;2;0;0;Faro Airport;37.0222849,-7.963351899999999;Alfagar;37.091469,-8.209299999999999;00:35;38;55,00
AT029941;13/01/2024;07:50;7;Chegada;Website;Airport Transfer;Airport Transfer 1-3PAX;2;0;0;Faro Airport;37.0211118,-7.968950899999999;Albufeira;37.0890119,-8.247851599999999;00:38;46,1;55,00
AT033336;14/01/2024;06:30;6;Partida;Alfagar Rece??o;Airport Transfer;Airport Transfer 1-3PAX;2;1;0;Alfagar;37.091469, -8.209299999999999;Faro Airport;37.02305399999999, -7.970688;00:35;38;60,50
AT033319;14/01/2024;11:45;11;;Alfagar Rece??o;Interzone;1 - 4 Pax;2;0;0;Alfagar;37.091469,-8.209299999999999;Marina-Albufeira;37.0842882,-8.2709493;00:15;9;15,00
AT033320;14/01/2024;15:30;15;;Alfagar Rece??o;Interzone;1 - 4 Pax;2;0;0;Marina-Albufeira;37.0842882,-8.2709493;Alfagar;37.091469,-8.209299999999999;00:15;9;15,00
AT033337;14/01/2024;23:45;23;Chegada;ADM;Airport Transfer;Airport Transfer 4-8PAX;5;0;0;Lisboa;38.7224131, -9.1392674;Alfagar;37.091469, -8.209299999999999;02:30;258;0,00
AT033328;15/01/2024;17:40;17;Chegada;Alfa Tours & Transfers;Airport Transfer;Airport Transfer 1-3PAX;2;0;0;Faro Airport;37.0222849,-7.963351899999999;Alfagar;37.091469,-8.209299999999999;00:35;38;55,00
AT033395;18/01/2024;08:15;8;;ADM;Interzone;1 - 4 Pax;1;0;0;Alfagar;37.0903633,-8.2093686;Ferreiras - Esta??o Comboios;37.1286219,-8.2330623;00:12;6;0,00
AT033412;19/01/2024;10:35;10;;Alto da Colina;Interzone;Taxi 1 - 4 Pax;3;0;0;Alto da Colina;37.0941384,-8.209068499999999;Old Town - Albufeira;37.0878126,-8.2512923;00:07;4;8,00
AT033413;19/01/2024;13:00;13;;Alto da Colina;Interzone;Taxi 1 - 4 Pax;2;0;0;Alto da Colina;37.0941384, -8.209068499999999;Old Town - Albufeira;37.0878126, -8.2512923;00:07;4;8,00
AT033414;19/01/2024;14:00;14;;Alfa Tours & Transfers;Interzone;Taxi 1 - 4 Pax;3;0;0;Old Town - Albufeira;37.0878126,-8.2512923;Alto da Colina;37.0941384,-8.209068499999999;00:07;4;8,00
AT033415;19/01/2024;16:40;16;;Alfa Tours & Transfers;Interzone;Taxi 1 - 4 Pax;2;0;0;Old Town - Albufeira;37.0878126, -8.2512923;Alfagar;37.0903633, -8.2093686;00:07;4;8,00
AT033098;20/01/2024;07:50;7;Chegada;Alfa Tours & Transfers;Airport Transfer;Airport Transfer 1-3PAX;2;0;0;Faro Airport;37.0222849,-7.963351899999999;Alfagar;37.091469,-8.209299999999999;00:35;38;55,00
AT033175;20/01/2024;07:50;7;Chegada;Alfa Tours & Transfers;Airport Transfer;Airport Transfer 1-3PAX;1;0;0;Faro Airport;37.0222849,-7.963351899999999;Alfagar;37.0900291,-8.2093814;00:35;38;55,00
AT033160;20/01/2024;07:50;7;Chegada;Website;Airport Transfer;Airport Transfer 1-3PAX;2;0;0;Faro Airport;37.0222868,-7.9634456;Albufeira;37.0890119,-8.247851599999999;00:37;45,9;55,00
AT033420;20/01/2024;08:30;8;;Alto da Colina;Interzone;1 - 4 Pax;2;0;0;Alto da Colina;37.0941384,-8.209068499999999;Loul?;37.1379054,-8.0201637;00:25;24;30,00
AT033421;20/01/2024;13:30;13;;Alto da Colina;Interzone;1 - 4 Pax;2;0;0;Loul?;37.1379054,-8.0201637;Alto da Colina;37.0941384,-8.209068499999999;00:25;24;0,00
AT033176;20/01/2024;15:45;15;Chegada;Alfa Tours & Transfers;Airport Transfer;Airport Transfer 1-3PAX;2;0;0;Faro Airport;37.0222849,-7.963351899999999;Alfagar;37.0900291,-8.2093814;00:35;38;55,00
AT025174;21/01/2024;07:30;7;Partida;Alfa Tours & Transfers;Airport Transfer;Airport Transfer 1-3PAX;2;0;0;Alfagar;37.0940463,-8.209057099999999;Faro Airport;37.0213551,-7.9688443;00:35;38;55,00
AT033291;21/01/2024;09:15;9;Chegada;Alfa Tours & Transfers;Airport Transfer;Airport Transfer 1-3PAX;2;0;0;Faro Airport;37.0222849,-7.963351899999999;Alto da Colina;37.0941384,-8.209068499999999;00:35;38;55,00
AT033425;21/01/2024;12:45;12;;Alfagar Rece??o;Interzone;Taxi 5 - 8 Pax;8;0;0;Alfagar;37.0903633,-8.2093686;Old Town - Albufeira;37.0878126,-8.2512923;00:07;4;10,00
AT033426;21/01/2024;12:55;12;;Alfagar Rece??o;Interzone;Taxi 1 - 4 Pax;4;0;0;Alfagar;37.0903633,-8.2093686;Old Town - Albufeira;37.0878126,-8.2512923;00:07;4;8,00
AT033427;21/01/2024;16:00;16;;Alfa Tours & Transfers;Interzone;Taxi 5 - 8 Pax;8;0;0;Old Town - Albufeira;37.0878126,-8.2512923;Alfagar;37.0903633,-8.2093686;00:07;4;10,00
AT033443;22/01/2024;14:00;14;;Alfagar Rece??o;Interzone;1 - 4 Pax;4;0;0;Alfagar;37.0903633,-8.2093686;Algarve Shopping - Guia;37.1280752,-8.2789767;00:17;11;20,00
AT029519;22/01/2024;15:45;15;Chegada;Alfagar Rece??o;Airport Transfer;Airport Transfer 1-3PAX;2;0;0;Faro Airport;37.0213551,-7.9688443;Alfagar;37.0179538,-7.930834000000001;00:35;38;55,00
AT033444;22/01/2024;18:00;18;;Alfagar Rece??o;Interzone;1 - 4 Pax;4;0;0;Algarve Shopping - Guia;37.1280752,-8.2789767;Alfagar;37.0903633,-8.2093686;00:17;11;20,00
AT033424;23/01/2024;19:35;19;Chegada;Alfa Tours & Transfers;Airport Transfer;Airport Transfer 1-3PAX;2;0;0;Faro Airport;37.0222849,-7.963351899999999;Alfagar;37.0903633,-8.2093686;00:35;38;55,00
AT033422;25/01/2024;09:15;9;Chegada;Website;Airport Transfer;Airport Transfer 1-3PAX;2;0;1;Faro Airport;37.0222868,-7.9634456;Alfagar;37.0911794,-8.2095811;00:35;38;55,00
AT033467;25/01/2024;10:40;10;;Alto da Colina;Interzone;5 - 8 Pax;5;0;0;Alto da Colina;37.0941384, -8.209068499999999;Loul?;37.1379054, -8.0201637;00:28;24,5;45,00
AT033468;25/01/2024;14:45;14;;Alfa Tours & Transfers;Interzone;5 - 8 Pax;5;0;0;Loul?;37.1379054, -8.0201637;Alto da Colina;37.0941384, -8.209068499999999;00:25;24;45,00
AT033390;27/01/2024;07:50;7;Chegada;Alfa Tours & Transfers;Airport Transfer;Airport Transfer 1-3PAX;2;0;0;Faro Airport;37.0222849,-7.963351899999999;Alfagar;37.091469,-8.209299999999999;00:35;38;55,00
AT033251;27/01/2024;07:50;7;Chegada;Alfa Tours & Transfers;Airport Transfer;Airport Transfer 1-3PAX;2;0;0;Faro Airport;37.0222849,-7.963351899999999;Alto da Colina;37.0941384,-8.209068499999999;00:35;38;55,00
AT033442;27/01/2024;11:55;11;Chegada;Alfa Tours & Transfers;Airport Transfer;Airport Transfer 1-3PAX;1;0;0;Faro Airport;37.0222849,-7.963351899999999;Alfagar;37.0903633,-8.2093686;00:35;38;55,00
AT033486;28/01/2024;07:30;7;Partida;Alfagar Rece??o;Airport Transfer;Airport Transfer 1-3PAX;2;0;1;Alfagar;37.0903633,-8.2093686;Faro Airport;37.02305399999999,-7.970688;00:35;38;55,00
AT033500;29/01/2024;14:05;14;;Alto da Colina;Interzone;Taxi 1 - 4 Pax;2;0;0;Alto da Colina;37.0941384, -8.209068499999999;Old Town - Albufeira;37.0878126, -8.2512923;00:07;4;8,00
AT033501;29/01/2024;16:00;16;;Alfa Tours & Transfers;Interzone;Taxi 1 - 4 Pax;2;0;0;Old Town - Albufeira;37.0878126, -8.2512923;Alto da Colina;37.0941384, -8.209068499999999;00:07;4;8,00
AT033290;29/01/2024;18:25;18;Chegada;Alfa Tours & Transfers;Airport Transfer;Airport Transfer 1-3PAX;2;0;0;Faro Airport;37.0222849,-7.963351899999999;Alfagar;37.091469,-8.209299999999999;00:35;38;55,00
AT033471;30/01/2024;10:00;10;Partida;Alfagar Rece??o;Airport Transfer;Airport Transfer 1-3PAX;2;0;0;Alfagar;37.0903633,-8.2093686;Faro Airport;37.02305399999999,-7.970688;00:35;38;55,00
AT032896;31/01/2024;10:30;10;Chegada;Website;Airport Transfer;Airport Transfer 1-3PAX;2;0;0;Faro Airport;37.0211118,-7.968950899999999;Alfagar;37.0911794,-8.2095811;00:35;38;55,00
AT033504;31/01/2024;16:30;16;Chegada;Alfagar Rece??o;Airport Transfer;Airport Transfer 4-8PAX;5;0;0;Faro Airport;37.0222849,-7.963351899999999;Alfagar;37.0903633,-8.2093686;00:35;38;129,67
AT033299;01/02/2024;15:45;15;Chegada;Website;Airport Transfer;Airport Transfer 1-3PAX;2;0;0;Faro Airport;37.0222868,-7.9634456;Alfagar;37.0911794,-8.2095811;00:35;38;55,00
AT033329;01/02/2024;15:45;15;Chegada;Alfa Tours & Transfers;Airport Transfer;Airport Transfer 4-8PAX;4;0;0;Faro Airport;37.0222849,-7.963351899999999;Alfagar;37.091469,-8.209299999999999;00:35;38;65,00
AT033472;01/02/2024;19:45;19;Chegada;Alfagar Rece??o;Airport Transfer;Airport Transfer 1-3PAX;2;0;0;Faro Airport;37.0222849,-7.963351899999999;Alfagar;37.0903633,-8.2093686;00:35;38;55,00
AT033304;02/02/2024;17:45;17;Chegada;Alfa Tours & Transfers;Airport Transfer;Airport Transfer 1-3PAX;2;0;0;Faro Airport;37.0222849,-7.963351899999999;Alfagar;37.091469,-8.209299999999999;00:35;38;55,00
AT033375;03/02/2024;07:00;7;Partida;Alfa Tours & Transfers;Airport Transfer;Airport Transfer 1-3PAX;2;0;0;Alfagar;37.091469,-8.209299999999999;Faro Airport;37.02305399999999,-7.970688;00:35;38;55,00
AT022715;03/02/2024;07:00;7;Partida;Alfa Tours & Transfers;Airport Transfer;Airport Transfer 1-3PAX;1;0;0;Alfagar;37.09404060000001,-8.2090475;Faro Airport;37.09404060000001,-8.2090475;00:35;38;55,00
AT033405;03/02/2024;07:50;7;Chegada;Alfa Tours & Transfers;Airport Transfer;Airport Transfer 1-3PAX;2;0;0;Faro Airport;37.0222849,-7.963351899999999;Alfagar;37.0903633,-8.2093686;00:35;38;55,00
AT033224;03/02/2024;07:50;7;Chegada;Alfa Tours & Transfers;Airport Transfer;Airport Transfer 1-3PAX;2;0;0;Faro Airport;37.0222849,-7.963351899999999;Alfagar;37.091469,-8.209299999999999;00:35;38;55,00
AT033514;03/02/2024;16:45;16;;Alfagar Rece??o;Interzone;1 - 4 Pax;4;0;0;Alfagar;37.0903633,-8.2093686;Algarve Shopping - Guia;37.1280752,-8.2789767;00:17;11;20,00
AT033516;03/02/2024;20:00;20;;Alfa Tours & Transfers;Interzone;1 - 4 Pax;4;0;0;Algarve Shopping - Guia;37.1278315,-8.2818845;Alfagar;37.0903633,-8.2093686;00:17;11;20,00
AT033505;04/02/2024;05:30;5;Partida;Alfagar Rece??o;Airport Transfer;Airport Transfer 4-8PAX;5;0;0;Alfagar;37.0903633,-8.2093686;Faro Airport;37.0222849,-7.963351899999999;00:35;38;0,00
AT033515;04/02/2024;12:00;12;Partida;Alfagar Rece??o;Airport Transfer;Airport Transfer 1-3PAX;2;0;0;Alfagar;37.0903633,-8.2093686;Faro Airport;37.02305399999999,-7.970688;00:35;38;55,00
AT033525;05/02/2024;10:30;10;;Alto da Colina;Interzone;Taxi 1 - 4 Pax;2;2;0;Alto da Colina;37.0941384, -8.209068499999999;Old Town - Albufeira;37.0878126, -8.2512923;00:07;4;8,00
AT033528;05/02/2024;14:00;14;;Alfa Tours & Transfers;Interzone;Taxi 1 - 4 Pax;2;2;0;Old Town - Albufeira;37.0878126,-8.2512923;Alto da Colina;37.0941384,-8.209068499999999;00:07;4;8,00
AT033531;05/02/2024;16:00;16;;Alfagar Rece??o;Interzone;1 - 4 Pax;1;0;0;Alfagar;37.0903633, -8.2093686;Marina- Baixa de Faro;37.0194486, -7.930292700000001;00:40;38;60,00
AT032676;05/02/2024;18:25;18;Chegada;Alfagar Rece??o;Airport Transfer;Airport Transfer 1-3PAX;2;0;1;Faro Airport;37.0206047,-7.968698099999999;Alfagar;37.0900291,-8.2093814;00:35;38;109,67
AT033524;06/02/2024;03:30;3;Partida;Alto da Colina;Airport Transfer;Airport Transfer 1-3PAX;1;0;0;Alto da Colina;37.0941384,-8.209068499999999;Faro Airport;37.02305399999999,-7.970688;00:35;38;60,50
AT033297;06/02/2024;09:00;9;Chegada;Website;Airport Transfer;Airport Transfer 1-3PAX;2;0;0;Faro Airport;37.0222868,-7.9634456;Alfagar;37.0917719,-8.208263200000001;00:35;38;55,00
AT033540;06/02/2024;19:02;19;;Alto da Colina;Interzone;Taxi 1 - 4 Pax;4;0;0;Alto da Colina;37.0941384, -8.209068499999999;Olhos de ?gua;37.1016921, -8.1846825;00:05;3;6,00
AT033539;07/02/2024;06:15;6;;Alto da Colina;Interzone;1 - 4 Pax;4;0;0;Alfagar;37.0903633,-8.2093686;Ferreiras - Esta??o Comboios;37.16802,-8.304789999999999;00:12;6;16,50
AT033541;07/02/2024;08:30;8;;Alto da Colina;Interzone;1 - 4 Pax;2;0;0;Alto da Colina;37.0941384,-8.209068499999999;Quarteira;37.0716105,-8.1020314;00:27;17,8;30,00
AT033547;07/02/2024;10:10;10;;Alto da Colina;Interzone;Taxi 1 - 4 Pax;4;0;0;Alto da Colina;37.0941384, -8.209068499999999;Old Town - Albufeira;37.0878126, -8.2512923;00:07;4;8,00
AT033548;07/02/2024;10:40;10;;Alto da Colina;Interzone;Taxi 5 - 8 Pax;6;0;0;Alto da Colina;37.0941384, -8.209068499999999;Old Town - Albufeira;37.0878126, -8.2512923;00:07;4;10,00
AT033549;07/02/2024;11:25;11;;Alto da Colina;Interzone;Taxi 1 - 4 Pax;2;0;0;Alto da Colina;37.0941384, -8.209068499999999;Albufeira Shopping;37.1280752, -8.2789767;00:10;4;8,00
AT033542;07/02/2024;12:15;12;;Alto da Colina;Interzone;1 - 4 Pax;2;0;0;Quarteira;37.0716105,-8.1020314;Alto da Colina;37.0941384,-8.209068499999999;00:26;18,1;0,00
AT033550;07/02/2024;12:25;12;;Alto da Colina;Interzone;1 - 4 Pax;2;2;0;Alto da Colina;37.0941384,-8.209068499999999;Marina-Albufeira;37.0839339,-8.2708975;00:20;8;15,00
AT033534;07/02/2024;12:50;12;Chegada;ADM;Airport Transfer;Airport Transfer 1-3PAX;1;0;0;Faro Airport;37.0222849,-7.963351899999999;Alfagar;37.0903633,-8.2093686;00:35;38;0,00
AT033553;07/02/2024;15:00;15;;Alfa Tours & Transfers;Interzone;Taxi 5 - 8 Pax;6;0;0;Old Town - Albufeira;37.0878126,-8.2512923;Alto da Colina;37.0941384,-8.209068499999999;00:07;4;13,00
AT033555;07/02/2024;15:25;15;;Alfa Tours & Transfers;Interzone;Taxi 1 - 4 Pax;4;0;0;Old Town - Albufeira;37.0878126, -8.2512923;Alto da Colina;37.0941384, -8.209068499999999;00:07;4;8,00
AT033562;07/02/2024;17:25;17;;Alfa Tours & Transfers;Interzone;1 - 4 Pax;2;1;1;Marina-Albufeira;37.0839339, -8.2708975;Alto da Colina;37.0941384, -8.209068499999999;00:20;8;15,00
AT033522;07/02/2024;21:15;21;Chegada;Alfagar Rece??o;Airport Transfer;Airport Transfer 4-8PAX;2;2;0;Faro Airport;37.0222849,-7.963351899999999;Alfagar;37.0903633,-8.2093686;00:35;38;123,50
AT033567;08/02/2024;10:10;10;;Alto da Colina;Parques Tem?ticos;1 - 4 Pax;2;2;0;Alto da Colina;37.0941384,-8.209068499999999;Aquashow;37.09105100000001,-8.073170000000001;00:15;17;70,00
AT033226;08/02/2024;10:55;10;Chegada;Alfa Tours & Transfers;Airport Transfer;Airport Transfer 1-3PAX;2;0;0;Faro Airport;37.0222849,-7.963351899999999;Alfagar;37.091469,-8.209299999999999;00:35;38;55,00
AT033554;08/02/2024;12:15;12;Partida;ADM;Airport Transfer;Airport Transfer 1-3PAX;3;0;0;Alfagar;37.0903633, -8.2093686;Faro Airport;37.02305399999999, -7.970688;00:35;38;0,00
AT033574;08/02/2024;15:30;15;;Alfa Tours & Transfers;Parques Tem?ticos;1 - 4 Pax;2;2;0;Aquashow;37.09105100000001,-8.073170000000001;Alto da Colina;37.0941384,-8.209068499999999;00:15;17;0,00
AT033575;08/02/2024;15:45;15;;Alto da Colina;Interzone;Taxi 1 - 4 Pax;2;2;0;Alto da Colina;37.0941384, -8.209068499999999;Oura - New Town;37.0863047, -8.2248004;00:05;2;6,00
AT033572;08/02/2024;17:15;17;Partida;ADM;Airport Transfer;Airport Transfer 1-3PAX;1;0;0;Alfagar;37.0903633, -8.2093686;Faro Airport;37.02305399999999, -7.970688;00:35;38;0,00
AT033601;09/02/2024;14:55;14;;Alfagar Rece??o;Interzone;Taxi 1 - 4 Pax;2;1;0;Alfagar;37.0903633, -8.2093686;Olhos de ?gua;37.1016921, -8.1846825;00:05;3;7,00
AT033604;09/02/2024;16:50;16;;Alfa Tours & Transfers;Interzone;Taxi 1 - 4 Pax;2;1;0;A?oteias;37.0971384, -8.169013;Alfagar;37.0903633, -8.2093686;00:05;4;7,00
AT033493;09/02/2024;17:45;17;Chegada;Alfa Tours & Transfers;Airport Transfer;Airport Transfer 1-3PAX;2;0;0;Faro Airport;37.0222849,-7.963351899999999;Alfagar;37.0903633,-8.2093686;00:35;38;55,00
AT033584;10/02/2024;06:00;6;Partida;ADM;Airport Transfer;Airport Transfer 1-3PAX;1;0;0;Alfagar;37.0903633,-8.2093686;Faro Airport;37.02305399999999,-7.970688;00:35;38;0,00
AT033487;10/02/2024;07:50;7;Chegada;Website;Airport Transfer;Airport Transfer 1-3PAX;3;0;0;Faro Airport;37.0222868,-7.9634456;Alfagar;37.0917719,-8.208263200000001;00:35;38;55,00
AT033568;10/02/2024;08:30;8;;Alto da Colina;Interzone;1 - 4 Pax;2;0;0;Alto da Colina;37.0941384,-8.209068499999999;Loul?;37.1379054,-8.0201637;00:25;24;30,00
AT033593;10/02/2024;08:30;8;;Alfagar Rece??o;Interzone;1 - 4 Pax;1;0;0;Alfagar;37.0903633,-8.2093686;Loul?;37.1379054,-8.0201637;00:32;36;15,00
AT033526;10/02/2024;08:30;8;;Alfagar Rece??o;Interzone;1 - 4 Pax;2;0;0;Alfagar;37.0903633,-8.2093686;Loul?;37.1379054,-8.0201637;00:32;36;30,00
AT033602;10/02/2024;08:30;8;;Alto da Colina;Interzone;1 - 4 Pax;2;0;0;Alto da Colina;37.0941384,-8.209068499999999;Loul?;37.1379054,-8.0201637;00:25;24;30,00
